Средняя,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,год,,
1881,-15.5,-14.7,-6.6,4.9,12.1,14.5,17.3,17.4,5.6,0.1,-9.2,-14.2,1.0,,
1882,-12.7,-12.4,-4.7,-0.5,10.5,15.0,17.1,15.1,8.5,-3.8,-4.8,-17.8,0.8,,
1883,-19.1,-12.3,-6.5,-2.2,12.5,15.1,16.9,13.8,8.9,1.2,-6.1,-10.8,0.9,,
1884,-13.9,-15.5,-9.2,-1.8,8.9,13.1,16.8,11.5,4.8,3.4,-6.0,-8.1,0.3,,
1885,-20.6,-10.8,-6.2,-0.4,10.4,14.3,16.2,12.1,7.6,0.5,-9.3,-10.7,0.3,,
1886,-11.5,-14.8,-9.0,1.1,7.2,12.0,16.8,14.8,8.4,-2.9,-7.6,-6.1,0.7,,
1887,-16.7,-10.5,-8.2,2.1,12.6,17.2,16.9,15.0,12.4,0.3,-5.0,-9.7,2.2,,
1888,-17.2,-15.5,-8.4,6.5,12.3,16.1,20.2,15.2,10.2,1.9,-9.6,-20.2,1.0,,
1889,-17.2,-12.1,-8.7,3.9,11.1,14.3,16.6,16.0,10.0,0.9,-11.4,-12.3,0.9,,
1890,-15.1,-12.3,-5.0,1.6,4.9,17.8,21.4,14.8,9.1,2.5,-16.8,-12.4,0.9,,
1891,-18.4,-12.5,-2.5,0.5,11.0,15.1,17.4,14.6,7.1,-3.8,-13.5,-12.8,0.2,,
1892,-17.6,-13.9,-7.6,-0.1,12.2,17.1,19.3,14.9,9.2,1.3,-7.6,-18.1,0.8,,
1893,-22.6,-12.4,-2.6,3.1,7.9,14.6,17.8,14.5,10.4,2.7,-4.6,-12.4,1.4,,
1894,-15.6,-7.8,-8.6,-0.7,11.9,13.8,15.1,16.1,8.0,-0.3,-10.5,-16.3,0.4,,
1895,-15.2,-17.1,-5.7,-1.1,7.8,14.2,17.6,16.1,8.7,4.8,-8.4,-15.8,0.5,,
1896,-19.0,-14.5,-10.4,-1.3,12.3,14.4,17.5,15.8,9.2,5.8,-9.8,-17.0,0.3,,
1897,-14.9,-16.0,-11.8,1.8,13.9,16.1,17.5,14.3,11.0,0.2,-8.4,-16.5,0.6,,
1898,-12.5,-17.6,-15.2,0.7,11.5,15.3,19.4,14.9,11.3,-3.0,-7.0,-8.5,0.8,,
1899,-11.4,-12.3,-9.4,3.2,10.1,15.9,16.4,15.3,10.9,5.3,-2.6,-16.8,2.1,,
1900,-18.3,-12.5,-5.1,-0.5,12.1,14.9,16.8,15.4,7.6,3.1,-7.8,-12.3,1.1,,
1901,-17.8,-8.5,-4.5,5.3,10.6,16.5,18.1,13.4,6.6,0.1,-6.7,-17.1,1.3,,
1902,-16.5,-10.8,-7.8,-0.4,9.8,16.4,20.7,16.6,8.0,-2.2,-13.5,-19.1,0.1,,
1903,-15.5,-9.5,-7.4,5.1,7.9,16.1,18.0,16.7,7.9,-1.2,-6.2,-12.1,1.7,,
1904,-13.0,-11.6,-6.5,2.9,11.4,14.5,17.5,15.0,8.7,2.2,-4.9,-14.1,1.8,,
1905,-15.9,-10.3,-8.6,1.5,10.7,14.6,15.3,14.4,10.7,5.7,-3.8,-9.1,2.1,,
1906,-16.6,-14.4,-3.6,4.9,13.0,17.3,19.9,15.3,7.8,0.4,-7.9,-11.7,2.0,,
1907,-20.8,-11.7,-6.8,3.5,7.2,14.7,20.0,15.8,9.1,0.1,-13.5,-17.9,0.0,,
1908,-19.1,-12.6,-11.2,3.5,8.3,14.8,13.7,13.5,9.1,-1.8,-9.5,-15.9,-0.6,,
1909,-15.4,-11.1,-8.1,4.4,9.1,17.2,18.2,13.5,11.2,3.4,-2.5,-9.6,2.5,,
1910,-13.5,-12.0,-6.6,4.0,10.2,14.3,18.6,15.0,9.1,-1.3,-7.1,-11.1,1.6,,
1911,-16.1,-17.9,-8.9,3.5,7.8,18.3,20.8,12.6,6.3,0.3,-3.0,-11.1,1.1,,
1912,-12.8,-19.8,-6.9,1.5,12.1,18.2,16.5,13.8,10.2,-3.7,-6.6,-16.7,0.5,,
1913,-15.4,-17.2,-5.5,0.9,7.6,14.6,17.4,16.9,8.4,-2.2,-2.9,-7.8,1.2,,
1914,-13.4,-9.8,-7.2,-1.6,11.6,13.3,15.5,15.9,7.8,-0.6,-8.1,-11.2,1.0,,
1915,-14.9,-8.3,-8.9,4.5,12.1,17.9,17.6,14.5,9.6,-1.4,-5.0,-14.8,1.9,,
1916,-13.3,-9.6,-8.4,3.4,10.2,16.9,16.6,13.0,9.7,1.8,-6.0,-13.0,1.8,,
1917,-13.4,-17.8,-10.8,6.4,9.7,13.6,19.0,13.4,11.2,4.0,-1.9,-10.4,1.9,,
1918,-11.6,-15.1,-9.6,2.2,4.8,17.3,17.9,14.9,8.5,3.9,-5.7,-15.6,1.0,,
1919,-18.3,-15.5,-10.1,5.3,7.4,15.2,17.3,15.8,9.4,3.8,-11.3,-14.2,0.4,,
1920,-13.9,-16.9,-2.5,6.8,13.4,19.6,16.5,16.9,9.9,-4.5,-10.3,-14.0,1.8,,
1921,-12.1,-14.3,-5.1,5.4,13.7,21.4,18.3,13.7,7.4,1.4,-6.5,-16.0,2.3,,
1922,-18.2,-16.8,-4.2,2.9,12.4,15.7,18.4,14.5,8.1,-0.4,-2.8,-8.2,1.8,,
1923,-11.9,-13.5,-7.1,-1.4,10.3,19.0,18.9,15.4,10.8,6.4,-0.9,-9.5,3.0,,
1924,-16.5,-15.4,-6.3,4.9,10.5,15.9,17.7,14.1,9.9,2.1,-4.4,-10.9,1.8,,
1925,-12.0,-8.1,-5.4,1.8,9.2,17.1,17.3,17.4,10.0,1.3,-5.6,-11.9,2.6,,
1926,-12.9,-13.2,-5.1,0.4,8.6,14.7,13.8,13.7,9.1,2.0,-3.4,-13.9,1.2,,
1927,-19.3,-12.6,-9.6,4.2,11.3,16.9,19.2,15.3,10.3,0.8,-5.8,-17.8,1.1,,
1928,-14.7,-13.8,-9.3,0.6,10.3,15.1,17.5,14.3,10.5,1.7,-7.5,-10.9,1.2,,
1929,-16.6,-20.2,-8.7,0.1,10.1,17.8,19.7,15.4,8.2,3.8,-3.5,-17.6,0.7,,
1930,-12.7,-15.9,-5.0,2.6,11.3,15.2,17.3,17.0,8.3,2.1,-4.4,-15.3,1.7,,
